date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:45:39	180/180	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/berlin_stroke/2.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/berlin_stroke/2.svg	(from https://designcanada.com/)
02:45:39	179/179	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/berlin_stroke/3.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/berlin_stroke/3.svg	(from https://designcanada.com/)
02:45:40	181/181	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/berlin_stroke/4.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/berlin_stroke/4.svg	(from https://designcanada.com/)
02:45:40	181/181	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/berlin_stroke/5.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/berlin_stroke/5.svg	(from https://designcanada.com/)
02:45:40	181/181	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/berlin_stroke/6.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/berlin_stroke/6.svg	(from https://designcanada.com/)
02:45:40	184/184	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/berlin_stroke/y1.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/berlin_stroke/y1.svg	(from https://designcanada.com/)
02:45:41	184/184	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/berlin_stroke/y2.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/berlin_stroke/y2.svg	(from https://designcanada.com/)
02:45:41	185/185	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/berlin_stroke/y3.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/berlin_stroke/y3.svg	(from https://designcanada.com/)
02:45:41	185/185	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/berlin_stroke/y4.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/berlin_stroke/y4.svg	(from https://designcanada.com/)
02:45:41	185/185	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Apr%202018%2013:51:36%20GMT	https://designcanada.com/assets/images/berlin_stroke/y5.svg	C:/My%20Web%20Sites/deisgncanda/designcanada.com/assets/images/berlin_stroke/y5.svg	(from https://designcanada.com/)
